Disease,Consulted Doctor
(Vertigo) Paroxysmal Positional Vertigo,ENT Specialist
Acne,Dermatologist
AIDS,Infectious Disease Specialist
Alcoholic Hepatitis,Hepatologist
Allergy,Allergist / Immunologist
Arthritis,Orthopedic Specialist
Bronchial Asthma,Pulmonologist
Cervical Spondylosis,Orthopedic Specialist
Chickenpox,General Practitioner
Chronic Cholestasis,Hepatologist
Common Cold,General Practitioner
Dengue,Infectious Disease Specialist
Diabetes,Endocrinologist
Dimorphic Hemorrhoids (piles),Proctologist
Drug Reaction,Dermatologist
Fungal Infection of the Hair,Dermatologist
Fungal Infection of the Skin,Dermatologist
GERD,Gastroenterologist
Heart Attack,Cardiologist
Hypertension,Cardiologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Hypothyroidism,Endocrinologist
Impetigo,Dermatologist
Infectious Gastroenteritis,Gastroenterologist
Intracerebral Hemorrhage (paralysis),Neurologist
Intracranial Hemorrhage (paralysis),Neurologist
Jaundice,Hepatologist
Liver Disease,Hepatologist
Malaria,Infectious Disease Specialist
Migraine,Neurologist
Noninfectious Gastroenteritis,Gastroenterologist
Osteoarthritis,Orthopedic Specialist
Peptic Ulcer Disease,Gastroenterologist
Pneumonia,Pulmonologist
Psoriasis,Dermatologist
Tuberculosis,Pulmonologist
Typhoid,General Practitioner
Urinary Tract Infection,Urologist
Varicose Veins,Vascular Surgeon
Viral Hepatitis,Hepatologist
